source_table,itemid,category,label,feature_name,unit_or_window,type,transform_note,binning,final_usage
labevents,50818,blood gas,pCO2,pco2,mm Hg,numeric,,most recent,0
chartevents,220224,,Arterial O2 pressure,po2,mm Hg,numeric,,most recent,0
labevents,50821,blood gas,pO2,po2,mm Hg,numeric,,most recent,0
labevents,51237,blood hematology,INR(PT),inr_pt,,numeric,,most recent,0
chartevents,227467,,INR,inr_pt,,numeric,,most recent,0
labevents,51274,blood hematology,PT,pt,sec,numeric,,most recent,0
chartevents,227465,,Prothrombin time,pt,sec,numeric,,most recent,0
labevents,51275,blood hematology,PTT,ptt,sec,numeric,,most recent,0
chartevents,227466,,PTT,ptt,sec,numeric,,most recent,0
procedureevents,225792,,Invasive Ventilation,procedure_invasive_ventilation,,binary,positive(1)  if procedure interval (starttime-endtime)  overlaps the observation window,at least once,1
procedureevents,225794,,Non-invasive Ventilation,procedure_noninvasive_ventilation,,binary,positive(1)  if procedure interval (starttime-endtime)  overlaps the observation window,at least once,1
emar,,,*NF* Carbidopa-Levodopa (25-100),levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Carbidopa-Levodopa (10-100),levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Carbidopa-Levodopa (25-100),levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Carbidopa-Levodopa (25-100) ODT,levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Carbidopa-Levodopa (25-250),levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Carbidopa-Levodopa (25-250) ODT,levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Carbidopa-Levodopa CR (25-100),levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Carbidopa-Levodopa CR (50-200),levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Duopa,levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Levodopa-Benserazide (50 mg/12.5 mg),levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Rytary,levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Sinemet,levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Stalevo 100,levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Stalevo 150,levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Stalevo 200,levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Stalevo 50,levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Stalevo 75,levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,carbidopa,levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,carbidopa (bulk),levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,carbidopa-levodopa,levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,carbidopa-levodopa-entacapone,levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,levodopa,levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,levodopa (bulk),levodopa_related,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,ENTAcapone,comt_inhibitor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Entacapone,comt_inhibitor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Stalevo 100,comt_inhibitor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Stalevo 150,comt_inhibitor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Stalevo 200,comt_inhibitor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Stalevo 50,comt_inhibitor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Stalevo 75,comt_inhibitor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,carbidopa-levodopa-entacapone,comt_inhibitor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,entacapone,comt_inhibitor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,tolcapone,comt_inhibitor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Bromocriptine Mesylate,dopamine_agonist,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Mirapex,dopamine_agonist,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Mirapex ER,dopamine_agonist,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Neupro,dopamine_agonist,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Pramipexole,dopamine_agonist,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Requip XL,dopamine_agonist,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Ropinirole,dopamine_agonist,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,pramipexole,dopamine_agonist,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,rOPINIRole,dopamine_agonist,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,rotigotine,dopamine_agonist,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Azilect,maob_inhibitor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Rasagiline,maob_inhibitor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Selegiline HCl,maob_inhibitor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Zelapar,maob_inhibitor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,rasagiline,maob_inhibitor,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Amantadine,amantadine,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Amantadine Syrup,amantadine,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Gocovri,amantadine,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,amantadine HCl,amantadine,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Benztropine Mesylate,anticholinergic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Trihexyphenidyl,anticholinergic,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,ALPRAZolam,benzodiazepine,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,ChlordiazePOXIDE,benzodiazepine,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Clobazam,benzodiazepine,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,ClonazePAM,benzodiazepine,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Diazepam,benzodiazepine,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Diazepam - CIWA protocol,benzodiazepine,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,LORazepam,benzodiazepine,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Lorazepam,benzodiazepine,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Midazolam,benzodiazepine,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Oxazepam,benzodiazepine,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Temazepam,benzodiazepine,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,diazePAM,benzodiazepine,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Acetaminophen w/Codeine,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
emar,,,Acetaminophen w/Codeine Elixir,opioid,,binary,positive(1)  if  the observation window overlaps the charttime,at least once,1
